Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,40,690,6%
Acrobatic part,14,336,4%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Footwork woman (FW),16,115,14%
Small mistakes (SM),7,115,6%
Big mistakes (BM),7,115,6%
Acrobatic figure (Acro 1 to 6),14,336,4%
Dance Figure (DF),3,115,3%
Footwork man (FM),4,115,3%
Choregraphy (CO),3,115,3%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,13,120,11%
Formations,11,180,6%
Adults,30,726,4%

Top 5 anomalies
Rock'n'Roll-Juveniles,bm,Final,Heat 3 Stn. 27,[0.0 0.0 -60.0 -30.0 -20.0 -20.0]
Rock'n'Roll-Main Class Contact Style,Acro 2,First round,Heat 3 Stn. 283,[-75.0 -35.0 -100.0]
Rock'n'Roll-Juveniles,sm,Final,Heat 1 Stn. 7,[-12.0 0.0 -2.0 -4.0 -6.0 -12.0]
Rock'n'Roll-Main Class Contact Style,Acro 6,Semi Final,Heat 6 Stn. 430,[-25.0 -75.0 -25.0]
Rock'n'Roll-Formation Juniors,bm,Final,Heat 1 Stn. 313,[0.0 0.0 0.0 -20.0 -40.0 -20.0]

