Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,179,4458,4%
Acrobatic part,113,1314,9%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Acrobatic figure (Acro 1 to 6),113,1314,9%
Choregraphy (CO),50,743,7%
Dance Figure (DF),46,743,6%
Footwork woman (FW),26,743,3%
Footwork man (FM),22,743,3%
Small mistakes (SM),17,743,2%
Big mistakes (BM),18,743,2%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,82,1716,5%
Adults,168,3060,5%
Formations,42,996,4%

