Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,57,762,7%
Acrobatic part,6,234,3%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
FW,22,127,17%
Big mistakes (BM),21,127,17%
DF,9,127,7%
Acrobatic figure (Acro 1 to 6),6,234,3%
Small mistakes (SM),3,127,2%
CO,2,127,2%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,29,288,10%
Formations,14,168,8%
Adults,20,540,4%
